,,,,Day 5,,,,,,,Day 8,,,,,,,,,,,,,,EOT,,,,,,,,,,,,,
Protein ID,Protein name,Symbol,UniProt,mean drug,std drug,ttest,mw,fold diff treatment,mean Placebo,std Placebo,mean drug,std drug,ttest,mw,fold diff treatment,drug_fold_diff_time_mean,drug_fold_diff_time_std,fold_diff_time_ttest,fold_diff_time_mw,fold_diff_treatment_time,mean Placebo,std Placebo,Placebo_fold_diff_time_mean,placebo_fold_diff_time_std,mean drug,std drug,ttest,mw,fold diff treatment mean,drug_fold_diff_time_mean,drug_fold_diff_time_std,fold_diff_time_ttest,fold_diff_time_mw,fold_diff_treatment_time,mean Placebo,std Placebo,placebo fold diff time mean,placebo_fold_diff_time_std
10000-28,Beta-crystallin B2,CRYBB2,P43320,501.8333333,33.82393958,0.51291538,0.202328381,0.770155515,651.6,156.4,543.8166667,29.96005211,0.530038329,0.308537539,0.766100819,1.084805053,0.028720922,0.992803416,0.433816167,1.000225308,709.85,182.75,1.084560694,0.020142277,,,,,,,,,,,,,,
10001-7,RAF proto-oncogene serine/threonine-protein kinase,RAF1,P04049,368.6333333,52.1132634,0.878402194,0.433816167,1.011478484,364.45,11.95,328.7,60.04265151,0.397694146,0.433816167,1.103575625,0.900337154,0.170665842,0.340719199,0.433816167,1.102856048,297.85,19.65,0.816368696,0.027148838,,,,,,,,,,,,,,
10003-15,Zinc finger protein 41,ZNF41,P51814,202.3166667,10.47607062,0.313841732,0.202328381,1.065665877,189.85,7.75,219.8833333,19.4165236,0.557627083,0.202328381,1.056877353,1.088588364,0.097030223,0.913657498,0.433816167,0.994485014,208.05,14.25,1.094625206,0.030374794,,,,,,,,,,,,,,
10006-25,ETS domain-containing protein Elk-1,ELK1,P19419,586.25,47.95344096,0.882003744,0.433816167,0.994318182,589.6,0.5,593.9,33.29184084,0.792839498,0.433816167,1.01712622,1.017180926,0.069408166,0.693942995,0.308537539,1.027067041,583.9,28.7,0.990374421,0.049516939,,,,,,,,,,,,,,
10008-43,Guanylyl cyclase-activating protein 1,GUCA1A,P43080,467.8166667,18.51282588,0.291990214,0.033376508,0.822607116,568.7,51.1,492.7333333,41.12593126,0.116714376,0.033376508,0.824106595,1.053126446,0.075032167,0.974957118,0.433816167,0.998302716,597.9,31.3,1.05491694,0.039750757,,,,,,,,,,,,,,
10010-10,Beclin-1,BECN1,Q14457,401.5666667,144.5427003,0.270836122,0.121672505,1.251961548,320.75,12.35,433.9666667,168.6639328,0.240999014,0.121672505,1.302225556,1.073525845,0.053894347,0.23799622,0.308537539,1.032878346,333.25,9.65,1.039353618,0.009933023,,,,,,,,,,,,,,
10011-65,Inositol polyphosphate 5-phosphatase OCRL-1,OCRL,Q01968,2463.416667,276.7650473,0.555114269,0.308537539,0.816715016,3016.25,662.35,2663.883333,293.4214513,0.524377469,0.121672505,0.739064292,1.09324725,0.1568676,0.488324537,0.308537539,0.928429408,3604.4,1019.9,1.177523289,0.07955821,,,,,,,,,,,,,,
10012-5,SAM pointed domain-containing Ets transcription factor,SPDEF,O95238,1492.933333,160.0706059,0.572669808,0.308537539,1.103057618,1353.45,177.95,1731.15,154.99318,0.692061654,0.433816167,1.056513381,1.166250623,0.104636214,0.422002669,0.433816167,0.9601858,1638.55,175.35,1.214609321,0.030137595,,,,,,,,,,,,,,
10013-34,Fc_MOUSE,nan,Q99LC4,458.2166667,31.1772041,0.461374048,0.121672505,0.892166407,513.6,50.3,512.1166667,34.62534797,0.483574025,0.202328381,0.853741213,1.119211195,0.058253932,0.536693409,0.308537539,0.962330126,599.85,84.25,1.16302209,0.050136271,,,,,,,,,,,,,,
10014-31,Zinc finger protein SNAI2,SNAI2,O43623,881.85,78.7716055,0.460981712,0.308537539,1.061638476,830.65,46.45,944.5333333,85.76916048,0.938729899,0.433816167,1.012144592,1.072538498,0.057419258,0.651648176,0.433816167,0.958335386,933.2,115.7,1.11916821,0.076704553,,,,,,,,,,,,,,
