,,,,Day 0,,,,,,,day 3,,,,,,,,,,,,,,EOT,,,,,,,,,,,,,
Protein ID,Protein name,Symbol,UniProt,mean drug,std drug,ttest,mw,fold diff treatment,mean Placebo,std Placebo,mean drug,std drug,ttest,mw,fold diff treatment,drug_fold_diff_time_mean,drug_fold_diff_time_std,fold_diff_time_ttest,fold_diff_time_mw,fold_diff_treatment_time,mean Placebo,std Placebo,Placebo_fold_diff_time_mean,placebo_fold_diff_time_std,mean drug,std drug,ttest,mw,fold diff treatment mean,drug_fold_diff_time_mean,drug_fold_diff_time_std,fold_diff_time_ttest,fold_diff_time_mw,fold_diff_treatment_time,mean Placebo,std Placebo,placebo fold diff time mean,placebo_fold_diff_time_std
10000-28,Beta-crystallin B2,CRYBB2,P43320,1272.076,313.5380925,0.348235242,0.391208768,0.947232696,1342.939286,199.7114174,1271.18,300.2988285,0.364004066,0.401293674,0.943773259,1.007586626,0.095156304,0.839337668,0.414296538,1.005256805,1346.9125,265.6165945,1.002317637,0.079368954,1244.477273,301.6906452,0.476377764,0.178988343,0.950577669,0.97428874,0.073504958,0.968869009,0.338872912,1.001122061,1309.18,267.4985712,0.973196753,0.09886694
10001-7,RAF proto-oncogene serine/threonine-protein kinase,RAF1,P04049,467.136,82.86697234,0.531537247,0.496445987,1.03177471,452.75,79.69148323,495.52,139.0005353,0.348657116,0.251423447,1.064585086,1.07600734,0.312034804,0.907137558,0.168826268,1.007760755,465.4583333,67.20816491,1.067721019,0.129593765,498.6045455,88.26903852,0.392098869,0.252254739,1.056958982,1.054336739,0.140302734,0.599355222,0.386053649,0.980860895,471.735,106.04229,1.074909546,0.104163203
10003-15,Zinc finger protein 41,ZNF41,P51814,285.384,78.49040543,0.165537881,0.01238134,0.377831198,755.3214286,1711.467387,285.192,88.65490813,0.16866671,0.02937898,0.214234767,0.992989646,0.092230161,0.346124151,0.414296538,0.85374076,1331.2125,3528.78013,1.163104413,0.843579494,295.0272727,78.01697474,0.182833758,0.032992237,0.173572001,1.036087894,0.12142179,0.397716673,0.147977086,0.821197951,1699.74,4428.188953,1.261678616,1.131172346
10006-25,ETS domain-containing protein Elk-1,ELK1,P19419,869.616,149.7632016,0.144862157,0.112831097,0.913092235,952.3857143,242.5664514,869.22,135.8933494,0.1582015,0.055917403,0.917733698,1.008788264,0.077305996,0.918665197,0.495887047,1.002215469,947.1375,222.8695411,1.006558265,0.069795792,904.5363636,142.372621,0.296801941,0.159921578,0.926091135,1.02873504,0.074913813,0.9701514,0.415247547,1.000840541,976.725,263.3030495,1.027871072,0.070182117
10008-43,Guanylyl cyclase-activating protein 1,GUCA1A,P43080,850.848,216.1811113,0.067475984,0.078316838,0.896731847,948.8321429,144.6284502,877.592,234.024467,0.41074959,0.488033527,0.946611835,1.021976981,0.074691839,0.100735048,0.067467034,1.042305286,927.0875,170.9034457,0.980496784,0.092210028,891.8727273,245.9196897,0.624302148,0.474897854,0.96358254,1.033249757,0.109162823,0.462552473,0.366932713,1.026637062,925.58,183.9732008,1.006441123,0.118404705
10010-10,Beclin-1,BECN1,Q14457,580.4,149.3561971,0.317169137,0.15070113,0.941940196,616.175,92.53548595,585.512,148.8033691,0.480684681,0.238852068,0.955807917,1.01561054,0.048124166,0.349171954,0.184871496,1.013266689,612.5833333,110.0118466,1.002313163,0.047222578,595.8954545,151.5254328,0.818910129,0.454882887,0.984121574,1.005242201,0.03854679,0.833384182,0.49497659,1.002938854,605.51,110.8031854,1.002296598,0.04824704
10011-65,Inositol polyphosphate 5-phosphatase OCRL-1,OCRL,Q01968,2549.384,389.7767963,0.221279181,0.203686182,0.937859692,2718.3,575.0267795,2571.504,363.3383927,0.743343143,0.3445745,0.982718474,1.007838079,0.090997771,0.102725048,0.050579315,1.049490165,2616.725,553.2417587,0.960312077,0.102227704,2471.9,286.3479527,0.299983308,0.097316976,0.950115022,0.986485447,0.11005886,0.65916104,0.425092523,0.979336473,2601.685,462.4610949,1.007299814,0.174797053
10012-5,SAM pointed domain-containing Ets transcription factor,SPDEF,O95238,2386.728,507.5323726,0.416717708,0.293416477,0.958973703,2488.835714,358.8151078,2308.792,480.0532253,0.467254417,0.208970088,0.963842358,0.977613207,0.090819277,0.393827499,0.190423909,1.021559767,2395.404167,315.7381886,0.956980921,0.07036031,2190.413636,408.6077162,0.385502254,0.120785237,0.955994848,0.928795982,0.090848619,0.912770533,0.252263373,0.996584519,2291.24,315.7586411,0.931979139,0.09149686
10013-34,Fc_MOUSE,nan,Q99LC4,838.428,239.319695,0.443087738,0.334461496,0.94947984,883.0392857,158.5687488,806.468,212.0138368,0.425174614,0.226627352,0.946618868,0.976709067,0.078658912,0.727121311,0.292388361,1.007923554,851.9458333,174.3457364,0.969030898,0.069359967,796.8681818,200.033823,0.345242762,0.093054729,0.935922931,0.959248704,0.077959286,0.394154629,0.348136362,0.973476266,851.425,160.5165315,0.985384788,0.109205316
10014-31,Zinc finger protein SNAI2,SNAI2,O43623,1664.428,393.0370654,0.543542514,0.148631939,1.035188606,1607.85,237.2460665,1678.56,409.3930561,0.543352393,0.305025731,1.037664077,1.008876495,0.09912214,0.836673503,0.40627952,1.004855404,1617.633333,258.1962249,1.004001661,0.053360539,1697.222727,551.5583443,0.768529146,0.4054555,1.027635796,1.007827357,0.248319259,0.916924224,0.054887676,0.993356543,1651.58,418.8168939,1.014567594,0.149691385
10015-119,Voltage-gated potassium channel subunit beta-2,KCNAB2,Q13303,1080.108,199.5912321,0.524639538,0.324790586,0.968880517,1114.8,185.2707787,1110.532,179.0877298,0.872308853,0.378280478,0.992336458,1.04370556,0.114534813,0.434397469,0.196077561,1.02679035,1119.108333,184.4899792,1.01647387,0.119614658,1083.868182,175.7440866,0.694858513,0.199425692,0.976066516,1.018760818,0.112926702,0.784649213,0.415247547,1.010152673,1110.445,240.4618441,1.008521627,0.121535929
10021-1,Fc_MOUSE,nan,Q99LC4,2752.692,955.4616367,0.62818086,0.432793924,0.959473577,2868.960714,712.4091177,2649.224,838.2807359,0.530176929,0.312066949,0.947732393,0.988756228,0.095677446,0.89539528,0.495887047,1.004038447,2795.329167,744.3331772,0.984779249,0.107955114,2591.804545,804.4789581,0.754597305,0.276981786,0.969758083,0.945879714,0.113364877,0.866859326,0.244290184,0.99318279,2672.63,816.841893,0.952372235,0.128397993
10022-207,DNA polymerase eta,POLH,Q9Y253,246.772,79.49301615,0.219642262,0.020670475,0.910297872,271.0892857,56.3785505,250.936,76.13567301,0.561330081,0.140064956,0.959327153,1.021539312,0.106568261,0.369666793,0.168826268,1.02785309,261.575,45.05523693,0.993857315,0.10057009,254.5545455,66.04145893,0.308111169,0.053496079,0.928556743,1.043533294,0.112627939,0.757884449,0.185649441,1.013744886,274.14,53.76438784,1.029384521,0.166995962
10023-32,Vitamin D3 receptor,VDR,P11473,1256.832,466.6353195,0.324665982,0.235268574,0.908882547,1382.832143,433.7257799,1205.872,441.2774932,0.314688898,0.181411255,0.898786584,0.97131451,0.111024727,0.900095091,0.438549652,0.996017974,1341.666667,473.1841666,0.975197773,0.097128769,1203.877273,416.8094735,0.643910616,0.159921578,0.953770131,0.966239693,0.09917275,0.699546977,0.49497659,0.981208037,1262.23,375.5534357,0.984744983,0.1841533
10024-44,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",HOGA1,Q86XE5,1358.968,313.5123815,0.986982941,0.240782424,1.001012927,1357.592857,281.5497887,1336.736,305.2188053,0.573427067,0.319177509,0.955821299,0.987215441,0.078182917,0.370387988,0.359108065,0.949270721,1398.520833,428.1716371,1.039972496,0.266506537,1303.181818,281.1115075,0.468536762,0.454884707,0.955117792,0.96857662,0.110747493,0.171880119,0.221207516,0.945181535,1364.42,248.0692335,1.024751949,0.14057656
10025-1,"Dihydrolipoyl dehydrogenase, mitochondrial",DLD,P09622,2539.58,1000.021243,0.775694249,0.269376147,1.036329109,2450.553571,1217.689431,2893.72,1123.623481,0.324583928,0.07352926,1.14194048,1.147231782,0.224392384,0.084473267,0.044460103,1.098959769,2534.0375,1337.746921,1.043925187,0.168259289,2424.295455,1031.798575,0.922715445,0.159921578,1.016836344,0.953498282,0.261023345,0.391799326,0.276981786,0.915310466,2384.155,1496.858315,1.041721163,0.367277047
10030-8,Adenine DNA glycosylase,MUTYH,Q9UIF7,205.856,43.65407729,0.011281583,0.002506144,0.85978043,239.4285714,47.51712366,213.952,46.01998801,0.095897553,0.065521712,0.895821354,1.040597427,0.088897854,0.294689162,0.225839955,1.025313791,238.8333333,53.79885893,1.014906301,0.074830016,219.9636364,46.30868312,0.198980834,0.049494703,0.686753263,1.061930977,0.084406121,0.285525368,0.4054555,0.782311672,320.295,326.0624533,1.357426988,1.169638277
10034-16,Fc_MOUSE,nan,Q99LC4,2227.472,288.6360913,0.24633714,0.118036764,0.95230936,2339.021429,387.7835924,2150.92,277.9827836,0.551786056,0.355691245,0.973059661,0.971495901,0.15346152,0.646644066,0.359108065,1.021784966,2210.470833,390.5455815,0.950783123,0.150955257,2068.886364,276.925816,0.086059955,0.077380614,0.907750688,0.936230243,0.124519316,0.469526175,0.366932713,0.96379231,2279.135,444.8697464,0.971402484,0.172949936
